detecteddistrict,detectedstate,population,long,lat
Katni,Madhya Pradesh,1292042,80.399737,23.822835
Kaushambi,Uttar Pradesh,1599596,81.37729,25.53074
Kendrapara,Odisha,1440361,86.475,20.525
Kendujhar,Odisha,1801733,85.58333,21.63333
Khagaria,Bihar,1666886,86.48,25.5
Khammam,Telangana,1401639,80.15,17.25
Khandwa ,Madhya Pradesh,1310061,76.33,21.83
Khargone ,Madhya Pradesh,1873046,75.61314,21.823096
Kheda,Gujarat,2053769,72.68333,22.75
Kheri,Uttar Pradesh,4021243,80.78,27.93
Khordha,Odisha,2251673,85.666,20.166
Khowai ,Tripura,327564,91.66751,23.98891
Khunti,Jharkhand,531885,85.28,23.07
Kinnaur,Himachal Pradesh,84121,78.41667,31.58333
Kiphire,Nagaland,74004,94.78333,25.9
Kishanganj,Bihar,1690400,86.9509,25.6844
Kishtwar,Jammu and Kashmir,230696,75.76945,33.31268
Kodagu,Karnataka,554519,75.7397,12.4208
Kodarma,Jharkhand,716259,85.6,24.47
Kohima,Nagaland,267988,94.11944,25.66667
Kokrajhar,Assam,887142,90.27,26.4
Kolar,Karnataka,1536401,78.13333,13.13333
Kolasib,Mizoram,83955,92.68,24.23
Kolhapur,Maharashtra,3876001,74.23333,16.7
Kolkata,West Bengal,4496694,88.36972,22.56972
Kollam,Kerala,2635375,76.58639,8.88528
Kondagaon ,Chhattisgarh,578824,81.664,19.5908
Koppal,Karnataka,1389920,76.15,15.35
Koraput,Odisha,1379647,82.7083,18.8083
Korba,Chhattisgarh,1206640,82.6963,22.3458
Koriya,Chhattisgarh,658917,81.6,21.27
Kota,Rajasthan,1951014,75.873414,25.025959
Kottayam,Kerala,1974551,76.52222,9.59167
Kozhikode,Kerala,3086293,75.893958,11.249953
Kra Daadi ,Arunachal Pradesh,46704,93.37,27.06
Krishna,Andhra Pradesh,4517398,81.13,16.17
Krishnagiri,Tamil Nadu,1879809,78.183455,12.52363
Kulgam,Jammu and Kashmir,424483,75.02,33.64
Kullu,Himachal Pradesh,437903,77.1,31.96
Kumaram Bheem Asifabad ,Telangana,515812,79.274,19.365
Kupwara,Jammu and Kashmir,870354,74.2425,34.54111
Kurnool,Andhra Pradesh,4053463,78.035,15.82222
Kurukshetra,Haryana,964655,76.853061,29.965888
Kurung Kumey,Arunachal Pradesh,45372,93.35,27.9
Kushinagar,Uttar Pradesh,3564544,83.888798,26.739546
Lahul and Spiti,Himachal Pradesh,31564,77.580009,32.500234
Lakhimpur,Assam,1042137,94.25,27.35
Lakhisarai,Bihar,1000912,86.09,25.17
Lakshadweep,Lakshadweep,64473,73.680555,10.813053
Lalitpur,Uttar Pradesh,1221592,78.41889,24.69028
Latehar,Jharkhand,726978,84.47,23.73
Latur,Maharashtra,2454196,76.58333,18.4
Lawngtlai,Mizoram,117894,92.9,22.53
Leh,Ladakh,133487,77.582551,34.164007
Lohardaga,Jharkhand,461790,84.68,23.43
Lohit,Arunachal Pradesh,49776,96.183641,27.965809
Longding ,Arunachal Pradesh,56953,93.37,27.06
Longleng,Nagaland,50484,94.805036,26.582921
Lower Dibang Valley,Arunachal Pradesh,54080,95.84172,28.14454
Lower Siang ,Arunachal Pradesh,37120,93.37,27.06
Lower Subansiri,Arunachal Pradesh,83030,93.81,27.54
Lucknow,Uttar Pradesh,4589838,80.91583,26.86056
Ludhiana,Punjab,3498739,75.84861,30.90833
Lunglei,Mizoram,161428,92.936958,22.896005
Madhepura,Bihar,2001762,86.78265,25.91444
Madhubani,Bihar,4487379,86.100581,26.407843
Madurai,Tamil Nadu,3038252,78.11939,9.91966
Mahabubabad ,Telangana,774549,79.724016,17.525477
Mahabubnagar,Telangana,1486777,77.56,16.46
Mahasamund,Chhattisgarh,1032754,82.1,21.1
Mahe,Puducherry,41816,79.83,11.93
Mahendragarh,Haryana,922088,76.15,28.28
Mahesana,Gujarat,2035064,72.4,23.6
Mahisagar ,Gujarat,994624,72.68333,23.21667
Mahoba,Uttar Pradesh,875958,79.87288,25.28
Mahrajganj,Uttar Pradesh,2684703,83.57,27.13
Mainpuri,Uttar Pradesh,1868529,79.02,27.23
Majuli ,Assam,167304,95.74417,27.903601
Malappuram,Kerala,4112920,76.07944,11.04167
Maldah,West Bengal,3988845,88.15,25
Malkangiri,Odisha,613192,82.13,18.25
Mamit,Mizoram,86364,92.49137,23.92514
Mancherial ,Telangana,807037,79.46394,18.86787
Mandi,Himachal Pradesh,999777,76.92,31.72
Mandla,Madhya Pradesh,1054905,80.38,22.6
Mandsaur,Madhya Pradesh,1340411,75.06794,24.07262
Mandya,Karnataka,1805769,76.89583,12.52417
Mansa,Punjab,769751,75.38,29.98
Mathura,Uttar Pradesh,2547184,77.68333,27.48333
Mau,Uttar Pradesh,2205968,83.56111,25.94167
Mayurbhanj,Odisha,2519738,86.733,21.933
Medak,Telangana,767428,78.092,17.629
Medchal Malkajgiri ,Telangana,2440073,78.5335,17.4569
Meerut,Uttar Pradesh,3443689,77.6824,28.9927
Mewat,Haryana,1089263,76.95,27.79
Mirzapur,Uttar Pradesh,2496970,82.58,25.15
Moga,Punjab,995746,75.17,30.82
Mokokchung,Nagaland,194622,94.5183,26.3248
Mon,Nagaland,250260,95.03333,26.71667
